DATE,HDFCBANK,ICICIBANK,SBI,KOTAKBANK,NIFTY,BANKNIFTY
2017-12-28,921.256,308.016,305.579,1003.198,10477.9,26069.199
2017-12-29,918.484,306.746,307.065,1008.64,10530.7,25974.9
2018-01-02,918.459,302.545,300.476,1001.651,10442.2,26537.4
2018-01-03,908.796,307.723,300.08,998.555,10443.2,26909.5
2018-01-04,912.352,307.43,305.678,998.855,10504.8,27041.199
2018-01-05,914.167,305.671,303.547,1001.501,10558.85,27390.6
2018-01-08,912.696,306.892,303.003,1004.546,10623.6,27398.551
2018-01-09,914.216,305.378,301.516,1008.19,10637.0,27445.65
2018-01-10,914.462,304.792,298.346,1000.702,10632.2,27498.449
2018-01-11,918.558,302.35,299.435,1016.078,10651.2,27269.051
2018-01-12,915.001,310.36,299.485,1021.769,10681.25,27379.449
2018-01-15,930.919,321.692,299.832,1036.746,10741.55,27220.699
2018-01-16,932.096,326.382,293.441,1031.654,10700.45,26451.15
2018-01-17,927.363,335.32,304.291,1025.514,10788.55,26098.75
2018-01-18,948.848,338.153,300.476,1044.884,10817.0,25811.301
2018-01-19,957.629,345.431,306.421,1058.912,10894.7,25670.0
2018-01-22,963.098,343.38,303.696,1072.441,10966.2,25920.65
2018-01-23,957.188,353.93,315.19,1073.789,11083.7,25463.65
2018-01-24,960.302,344.601,326.882,1078.432,11086.0,25701.6
2018-01-25,968.789,352.465,310.285,1090.663,11069.65,25341.25
2018-01-29,980.905,349.388,309.245,1113.378,11130.4,25424.35
2018-01-30,978.869,345.089,310.682,1086.37,11049.65,25163.9
2018-01-31,983.873,344.796,310.384,1107.237,11027.7,25058.551
2018-02-01,976.735,338.202,303.25,1119.219,11016.9,24874.4
2018-02-02,955.569,327.358,294.63,1084.273,10760.6,24936.699
2018-02-05,938.817,322.083,295.323,1060.609,10666.55,24955.199
2018-02-06,930.453,323.06,289.081,1032.203,10498.25,25302.5
2018-02-07,918.68,324.867,290.121,1034.699,10476.7,25687.9
2018-02-08,922.678,326.137,298.643,1050.126,10576.85,25383.6
2018-02-09,907.251,319.201,293.689,1030.406,10454.95,25107.4
2018-02-12,920.569,318.713,286.108,1041.339,10539.75,24902.551
2018-02-14,923.757,311.582,273.673,1040.84,10500.9,24818.699
2018-02-15,923.144,321.057,276.15,1040.54,10545.5,24448.449
2018-02-16,921.525,313.633,269.165,1048.578,10452.3,24134.1
2018-02-19,921.329,312.363,266.044,1054.569,10378.4,24477.65
2018-02-20,913.971,309.921,267.183,1044.185,10360.4,24296.449
2018-02-21,911.126,311.826,270.8,1053.421,10397.45,24664.199
2018-02-22,909.066,310.995,270.106,1070.844,10382.7,24738.65
2018-02-23,922.482,315.294,273.525,1079.181,10491.05,24851.65
2018-02-26,937.689,319.494,271.939,1103.443,10582.6,24791.85
2018-02-27,933.274,314.708,265.152,1091.362,10554.3,24489.551
2018-02-28,924.272,306.013,265.548,1088.866,10492.85,24245.1
2018-03-01,919.44,297.905,259.752,1094.008,10458.35,24168.199
2018-03-05,917.282,296.342,261.089,1098.301,10358.85,24255.6
2018-03-06,905.656,288.234,254.203,1080.778,10249.25,24141.5
2018-03-07,898.961,280.077,244.394,1083.424,10154.2,23670.4
2018-03-08,908.894,290.09,254.451,1080.628,10242.65,24244.35
2018-03-09,908.011,285.938,250.933,1080.778,10226.85,24434.15
